,ClusterEVEpiOverlap,ClusterEVEpiReads,EVE-ClusterOverlap,EVEfamilies,EVEhits,clusterEVEcoverage,piClust_piSites,piClust_reads,piTotal
446,0,0,0,0,0,0.0,39,437,7501456
447,0,0,0,0,0,0.0,27,85,7501456
448,0,0,0,0,0,0.0,146,2075,7501456
449,0,0,0,0,0,0.0,176,1806,7501456
450,0,0,0,0,0,0.0,118,11245,7501456
451,0,0,0,0,0,0.0,124,3222,7501456
452,0,0,0,0,0,0.0,93,5678,7501456
453,0,0,0,0,0,0.0,119,1300,7501456
454,0,0,0,0,0,0.0,37,201,7501456
455,0,0,0,0,0,0.0,91,5197,7501456
456,0,0,0,0,0,0.0,143,5896,7501456
457,0,0,0,0,0,0.0,75,9191,7501456
458,0,0,0,0,0,0.0,40,180,7501456
459,0,0,0,0,0,0.0,163,797,7501456
460,0,0,0,0,0,0.0,154,1596,7501456
461,0,0,0,0,0,0.0,88,10268,7501456
462,0,0,0,0,0,0.0,87,26595,7501456
463,0,0,0,0,0,0.0,82,7114,7501456
464,0,0,0,0,0,0.0,54,102,7501456
465,0,0,0,0,0,0.0,82,15463,7501456
466,0,0,0,0,0,0.0,30,175,7501456
467,0,0,0,0,0,0.0,40,155,7501456
468,0,0,0,0,0,0.0,36,182,7501456
